fipscode,growth rate
17083,0.0221
16031,0.0778
48219,0.0443
1007,0.0126
1111,0.0181
22077,0.0335
22111,0.0298
8075,0.0621
40001,0.031
17085,0.0201
47057,0.0466
16075,0.0725
45011,0.0279
39175,0.0384
13107,0.0405
51670,0.0205
28039,0.024
12123,0.0647
51600,0.0291
48179,0.0428
46135,0.0389
38105,0.0626
19123,0.019
16053,0.0739
41015,0.0389
17173,0.0303
17145,0.0202
41027,0.0663
13085,0.0437
31067,0.0343
22043,0.0388
51163,0.023
47111,0.0474
47151,0.0458
5149,0.0403
48233,0.034
17051,0.0291
48489,0.0441
40009,0.0352
22093,0.0242
37131,0.0221
13119,0.0421
47133,0.0486
13199,0.0399
47129,0.0401
48341,0.0658
13189,0.044
5003,0.0203
13091,0.0435
48457,0.0515
5107,0.0019
21051,0.0461
28101,0.0285
41031,0.0649
51075,0.0233
26089,0.0571
19183,0.0315
26129,0.044
13321,0.0399
27157,0.0445
53003,0.0615
20149,0.0347
20021,0.0175
18119,0.0382
18153,0.0321
55125,0.0198
21005,0.0231
6011,0.0401
49007,0.0549
48057,0.0471
27105,0.0451
16013,0.0457
37079,0.0289
13291,0.0416
21167,0.025
56039,0.0513
37015,0.0133
5029,0.0263
18075,0.0578
13237,0.0372
13303,0.0421
29217,0.0323
56041,0.027
45049,0.0206
19191,0.0423
1091,0.0558
31043,0.0474
51820,0.0215
41013,0.0571
37185,0.0204
19019,0.0334
18147,0.0411
1013,0.0077
53049,0.0544
19065,0.0303
55001,0.0313
48089,0.0537
27045,0.045
27091,0.0453
18049,0.0351
22029,0.0297
19027,0.0363
21231,0.0279
49041,0.0615
31155,0.0475
22041,0.0108
37115,0.0326
29049,0.0368
22083,0.0065
55119,0.036
5113,0.0369
19105,0.0278
55061,0.0337
37149,0.0475
35027,0.0242
4012,0.0725
48019,0.0486
55053,0.0412
27057,0.0465
53039,0.0716
22037,0.0391
19021,0.0343
40091,0.0285
31177,0.0369
48253,0.0509
24029,0.0176
13105,0.0364
18015,0.0357
19087,0.0293
48123,0.0621
27039,0.047
40153,0.0358
16067,0.0804
21027,0.0397
