fips,Current Price (2021/4/30)
27157,229878
40145,191788
12129,199342
41063,307146
19179,80738
18173,208628
49051,554374
40149,61870
37189,341013
55135,165689
47183,104006
13307,89129
19187,93361
21233,64884
22119,120769
29225,167285
28155,134671
31181,83696
26165,131305
48481,151071
53073,498243
13309,84700
41069,192641
48483,84540
18183,180429
21235,87967
53075,304715
48485,116558
48489,72562
9015,233514
50025,255001
50027,289792
48495,96022
1133,114083
28159,105325
20207,70517
39175,115870
36121,135107
42131,180996
54109,36559
41071,422988
46135,189986
4025,391599
51001,195814
37001,188751
24001,98000
36003,83260
20003,110129
21005,162447
45007,199730
47001,189471
48001,114393
48005,130235
31003,123927
8005,468106
5001,85194
48013,166399
20005,99535
29005,79543
13003,82969
34001,238875
39011,163240
45011,106178
55007,198182
37013,151397
45013,356242
27007,191967
13017,81209
45015,252960
54003,224719
56003,184010
13023,113325
16021,271887
12007,147913
42015,149327
13025,118179
48039,258466
48043,192560
19019,143170
29021,118931
51027,64433
37021,346129
38015,294842
48051,161361
37025,275852
21033,75173
22021,85544
29025,136674
37027,144269
48055,192718
48059,127609
29027,176493
21035,141098
21037,211209
47013,128806
51031,184023
56005,277456
40017,189597
34009,477908
21039,82684
24011,205993
51033,224449
37031,311238
1017,74683
48071,268578
29041,128468
13049,118649
47021,267534
36017,115153
1019,135111
13057,333555
19035,111020
20021,75860
37039,172289
40021,118339
45021,91170
48073,135316
33005,249618
8017,114552
31033,108859
26033,124495
27023,107683
55017,203770
30015,163386
1029,127246
5023,158300
39025,228492
4005,447735
45029,155302
48089,171746
13071,98248
5027,90931
12023,178662
13073,241988
36021,298460
41009,372089
42037,169280
53013,186138
55021,237813
37047,104352
40031,105957
48093,105926
56009,245442
36023,139969
8023,128781
5033,128765
13079,138005
19047,108523
17033,85558
18025,106255
20037,88100
26039,111099
29055,134675
39033,92167
42039,113672
55023,131805
1041,83454
47033,98711
51047,339447
39035,167210
37057,180757
47037,330757
18029,211720
39039,133104
19055,161087
18035,106808
36025,163932
39041,379178
40041,172201
42045,281012
35013,202355
20043,99729
49013,235404
36027,368540
48133,88118
21061,110396
1053,100664
12033,187356
5045,179429
51061,494987
47049,108973
27045,193091
31059,102746
30029,454440
45041,144566
55037,161713
51065,241460
18045,106791
1059,94756
5047,101921
12037,301944
13119,161450
19069,91078
16041,270331
17055,67656
18047,198746
20059,151421
21073,170550
22041,98850
25011,257745
23007,167216
29071,196863
28037,132505
37069,225865
36033,121337
39049,234557
42055,209018
47051,179238
48159,189257
51067,242528
50011,244008
53021,320794
27047,135063
31063,78773
17059,74719
21077,126852
30031,554019
8045,488604
40047,92190
53023,161916
13125,117249
48177,153864
47057,152063
4011,97753
39059,116038
37081,198117
8051,442037
13135,293067
12047,106425
19079,108963
17065,80660
18057,333172
31081,191809
36041,221569
39061,204572
47065,228935
48193,116537
48195,94009
13143,147763
47069,92158
19085,127640
18061,172109
21097,130034
29081,90207
28047,158234
39067,101458
48203,146709
54033,110404
9003,260718
27053,347379
36043,120419
12053,217901
37091,132987
39071,121725
51091,190215
8053,341490
15003,773765
26061,129709
8055,149538
6023,370498
19091,111565
32013,249846
6025,275583
17075,89937
26073,149184
28057,105534
18079,134645
37101,239636
40069,90847
26079,135753
